Class,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9
AU,15741,0,0,0,0,0,59,31,0,45,7935,5051,1739,713,267,107,40,17,5,2,4089,5295,3250,1817,842,387,129,45,13,9,0.35335856195111837,0.10879848627678343,0.03453169347045735,0.06717123935349238,0.06717123935349238,0.008514664143400442,0.08467360453714884,0.18022705770197603,0.07000946073462586,0.025543992430201327
AU,15788,0,0,0,0,0,50,18,0,20,8575,4912,1453,526,203,109,58,26,11,3,4557,5433,3266,1442,642,300,153,56,18,9,0.3989717223445259,0.07506426734832575,0.014910025706174291,0.06015424164215145,0.11568123392721433,0.009254498714177146,0.08791773778468288,0.15475578405374005,0.0652956298166943,0.017994858610900007
AU,13148,613,329,86,314,161,757,163,46,259,13955,1287,378,149,67,29,6,2,1,2,10681,2842,1075,679,349,163,59,11,12,5,0.3361581920745689,0.11016949152023685,0.022128060262611673,0.04096045197547268,0.14218455743210054,0.042843691146758775,0.0414312617682942,0.22363465159022436,0.0301318267405776,0.01035781544207355
AU,15849,0,0,0,0,0,12,11,0,4,7169,5579,1937,762,257,100,43,19,6,4,4090,5383,3455,1807,696,284,90,48,13,10,0.35977601491554945,0.11339244049867511,0.029864675686893858,0.07186187587158835,0.07839477367809637,0.006999533364115748,0.07606159589005779,0.1866542230430866,0.056929538028141415,0.02006532897713181
AU,13862,540,272,84,175,135,521,93,49,145,10578,2882,1098,678,349,174,68,28,18,3,9095,3671,1546,706,448,227,113,37,24,9,0.39387755100031235,0.12551020407522906,0.0321428571412172,0.04030612244692316,0.16122448978769263,0.035204081630856934,0.05102040816066222,0.12551020407522906,0.023979591835511245,0.01122448979534569
AU,14685,126,111,46,69,84,495,47,41,172,10309,3533,1218,465,205,79,42,14,9,2,6037,4853,2399,1381,744,308,109,28,7,10,0.4092707744257054,0.10288298473132373,0.04070096099261159,0.08083663086032579,0.10853589598029757,0.010175240248152898,0.0672696438627886,0.12379875635252692,0.045788581116688036,0.010740531373050281
AU,15732,0,0,0,0,0,67,31,0,46,6561,5636,2013,957,395,171,83,34,18,8,3928,4786,3383,2026,1021,473,170,60,20,9,0.3414519906163255,0.11288056205560279,0.03372365339420498,0.06885245901316851,0.06885245901316851,0.0070257611237927045,0.09742388758325884,0.1882903981176445,0.057142857140180664,0.02435597189581471
AU,15798,0,0,0,0,0,46,18,0,14,9725,4376,1113,368,145,78,46,17,7,1,3831,5321,3425,1740,867,402,190,71,20,9,0.3895410885597897,0.10458911418865587,0.02454642475856209,0.07363927427568627,0.09605122731611253,0.008004268943009377,0.09018143009123898,0.13660618996069337,0.056563500530599595,0.02027748132229042
AU,15848,0,0,0,0,0,13,5,0,10,8040,5119,1603,675,261,112,42,17,3,4,3645,5528,3563,1875,808,316,104,23,10,4,0.3651252408301963,0.09874759151740138,0.03901734103858298,0.07225433525663515,0.07803468207716596,0.008670520230796218,0.08140655105580893,0.1743737957526795,0.05780346820530812,0.024566473987255952
AU,15813,0,0,0,0,0,26,7,0,30,8148,5161,1580,559,225,103,52,32,12,4,4201,4899,3393,1808,843,434,189,77,26,6,0.37774294668872815,0.0668756530790556,0.01985370950784463,0.07784743991233817,0.11650992684866719,0.007314524555521707,0.10083594565826354,0.15203761754691547,0.07210031347585683,0.008881922674562073
AU,15749,38,19,7,11,7,20,19,0,6,8347,5216,1602,450,152,65,23,15,3,3,4195,5026,3358,1877,865,349,122,57,17,10,0.3517010062121849,0.12266411115847321,0.029228557736979948,0.0618112122634494,0.0685194058424284,0.00718735026319179,0.08672735984251427,0.19597508384302947,0.050790608526555314,0.025395304263277657
AU,15613,72,27,14,17,15,76,17,0,25,8882,4996,1473,353,106,38,12,10,3,3,4020,5479,3368,1729,790,322,103,45,10,10,0.3438268568448683,0.1293654697427759,0.02902115100693452,0.10624692572030266,0.07624200688262459,0.004918839153717715,0.07476635513650928,0.16724053122640234,0.0501721593679207,0.018199704868755547
AU,15798,0,0,0,0,0,46,18,0,14,10373,3937,977,335,130,68,34,15,6,1,3727,5310,3323,1793,925,445,238,85,25,5,0.38300161375024194,0.12318450779326602,0.02797202797052329,0.09090909090420068,0.0823023130671166,0.009144701451901844,0.09090909090420068,0.12479827863771929,0.050564819792869024,0.017213555674168178
AU,13761,372,311,97,198,155,642,50,64,226,12539,2391,598,221,65,31,18,5,6,2,7825,4227,1942,998,539,225,80,23,7,10,0.42009370117542455,0.11140031233152523,0.03591879229380954,0.058302967201545916,0.102550754809862,0.021343050493423058,0.04841228526556937,0.14471629358955146,0.04008328995106281,0.01717855283616978
AU,15647,51,18,10,12,12,81,16,0,29,4922,5814,2876,1228,619,235,113,43,21,5,4508,5722,3204,1472,617,229,78,29,7,10,0.33217649973563823,0.10857709468970862,0.031234506691560013,0.11849281109972767,0.0679226574086305,0.006445215666512383,0.08428358948516194,0.18641546850835816,0.05354486861410288,0.010907288051020958
AU,15810,0,0,0,0,0,24,24,0,18,6449,5947,2211,776,288,118,54,22,7,4,4802,6032,3149,1250,428,135,44,22,6,8,0.3509763617496929,0.0873586844764975,0.04419321685281638,0.11562178827771727,0.0873586844764975,0.004110996916541059,0.0971223021532825,0.15930113051596603,0.04470709146738401,0.009249743062217382
AU,15629,72,27,14,17,15,60,23,0,19,8390,5099,1697,456,143,55,19,11,3,3,4153,5231,3219,1783,855,393,140,68,20,14,0.3344578313091828,0.1392771084270228,0.03277108433577007,0.08530120481516622,0.07759036144204384,0.004819277108201481,0.09012048192336769,0.1734939758952533,0.04337349397381333,0.018795180721985775
AU,15833,0,0,0,0,0,24,13,0,6,11673,3203,630,213,94,32,10,14,5,2,3738,5252,3595,1879,880,355,130,36,7,4,0.37514318440004907,0.07331042382168898,0.020618556699850025,0.07159221076336814,0.09965635738260845,0.007445589919390287,0.08934707903268344,0.1752577319487252,0.08075601374107927,0.006872852233283342
AU,15792,0,0,0,0,0,56,9,0,19,7294,4945,1970,867,443,216,74,48,11,8,4429,5361,3121,1663,786,320,138,43,12,3,0.4071888411798718,0.08208154505997416,0.03969957081332084,0.0992489270333021,0.07778969956664218,0.0069742489266644715,0.09066523604663813,0.12875536479995947,0.04613733905331881,0.021459227466659913
AU,15845,0,0,0,0,0,20,5,0,6,10177,3949,1149,363,124,64,27,15,6,2,4180,5216,3163,1698,881,417,210,85,22,4,0.3863511282120885,0.14584479911140094,0.02476609796231337,0.10181618051173273,0.07760044028191522,0.01485965877738802,0.0753990093519318,0.11777655475411246,0.03907539900720553,0.016510731974875577
AU,8036,2601,2459,1831,606,211,74,40,15,3,7267,6056,1824,517,124,44,20,16,3,5,3420,5780,3721,1877,740,230,73,20,10,5,0.3979544397769431,0.08461180845724725,0.04974430497211789,0.12133891212825018,0.05206880520445985,0.007438400743494264,0.09019060901486795,0.13807531380111226,0.048814504879181105,0.00976290097583622
AU,14213,309,196,51,147,125,517,110,39,169,11044,3501,661,278,155,109,70,31,18,9,9793,3960,1213,434,244,135,65,13,14,5,0.3604766633386059,0.13455809333989285,0.022343594835037558,0.04716981131841262,0.13108242303222034,0.033763654417390085,0.05064548162608513,0.18371400197697546,0.02432969215370756,0.01191658391202003
AU,15725,10,2,0,2,11,75,6,7,38,9942,3925,1221,493,215,46,24,4,2,4,3989,4975,3327,1834,1027,452,178,70,19,5,0.4023231256387369,0.10401267158901728,0.0385427666294328,0.08711721224460837,0.06705385427312281,0.005807814149640558,0.08342133051301893,0.13357972544173286,0.05596620907835447,0.022175290389536677
AU,15850,0,0,0,0,0,16,4,0,6,7555,5491,1749,650,251,102,49,17,9,3,3617,5441,3635,1923,853,297,82,17,7,4,0.37181409293494183,0.09545227385829823,0.03498250874387893,0.08745627185969733,0.07796101948635877,0.007496251873688343,0.08195902048565921,0.17291354321974445,0.047976011991605394,0.021989005496152472
AU,15816,0,0,0,0,0,42,2,0,16,9738,4052,1285,454,189,87,45,15,7,4,3248,4923,3816,2253,1038,410,134,30,16,8,0.34764944861592284,0.10621009865895471,0.018572257688997548,0.07370864770320901,0.09112013928664421,0.009286128844498774,0.0806732443365831,0.19268717352334955,0.0696459663337408,0.01044689495006112
AU,15742,0,0,0,0,0,66,22,0,46,9098,4496,1395,503,199,103,50,21,8,3,5106,5656,2859,1284,573,265,77,48,6,2,0.37644468902716316,0.07760044028191522,0.025866813427305072,0.08200330214188203,0.11777655475411246,0.0049532195924626736,0.09301045679179909,0.14364336818141754,0.06989543202697328,0.008805723719933642
AU,15772,0,0,0,0,0,57,23,0,24,11412,3077,859,324,119,56,19,6,3,1,5031,5182,2847,1501,729,405,120,52,7,2,0.3841131664644117,0.10990206745865604,0.036452665939257195,0.08433079433708755,0.09466811751389183,0.011969532099457588,0.09303590859123852,0.12350380848076692,0.05005440696136809,0.011969532099457588
AU,9588,2276,1593,1460,529,277,78,42,21,12,3641,5489,3631,1862,818,274,77,67,10,7,1886,5193,4464,2602,1084,453,118,62,12,2,0.42205638472545376,0.11525704808809051,0.03524046434348091,0.09245439468936757,0.07296849087591342,0.013266998341075167,0.058872305138521056,0.14427860695919245,0.03689883913611531,0.008706467661330578
AU,7508,2901,2559,1619,737,364,134,35,16,3,3154,4899,3751,2180,1092,482,198,88,23,9,2478,5438,3943,2334,1025,413,168,50,23,4,0.4085850556222265,0.08002119766401583,0.024907260200057908,0.0832008479023211,0.1128775834598369,0.007949125595763162,0.09379968203000531,0.13036565977051587,0.05299417063842108,0.005299417063842108
AU,6693,3660,3465,1459,454,102,31,8,0,4,3445,5659,3621,1764,783,358,154,64,24,4,3048,5213,4123,1874,908,333,186,116,51,24,0.33457769480473276,0.07279514698680378,0.04853009799120252,0.12552496499647575,0.06952869808354976,0.004199720018469449,0.0989267382128359,0.20998600092347244,0.031264582359717005,0.004666355576077166
AU,7427,2866,2438,1777,930,260,121,35,18,4,3512,5509,3728,1778,751,347,153,65,28,5,4266,6657,3325,1008,347,142,72,39,15,5,0.3640149937374421,0.0945439400210519,0.024573094542916573,0.08912952935905334,0.09204498125397564,0.009579341940459004,0.09496043314889795,0.17534360682318437,0.039566847145374145,0.016243231985995702
AU,11845,3216,456,144,105,56,26,20,3,5,3823,6299,3514,1484,499,175,47,20,11,4,3329,4970,3996,2144,876,368,136,42,13,2,0.3817708333134494,0.10989583332760959,0.0395833333312717,0.09739583332826063,0.06458333332996961,0.006770833332980685,0.09427083332842338,0.1661458333246799,0.0317708333316786,0.007812499999593099
AU,11073,2858,1042,472,237,140,30,18,4,2,4396,5659,3328,1532,584,222,85,54,11,5,3112,4363,3801,2448,1224,570,240,94,12,12,0.35032162294159713,0.04898565066556231,0.038099950517659575,0.11528946065733352,0.07026224640919039,0.0034636318652417797,0.11380504700080132,0.2172191984058773,0.03760514596548218,0.004948045521773971
AU,7944,2565,2984,1596,522,139,81,27,4,14,5292,6176,2812,1050,354,132,38,12,4,6,9357,5326,977,180,18,4,2,4,4,4,0.37575757574130925,0.09740259739838085,0.03376623376477203,0.08528138527769345,0.07792207791870467,0.007359307358988775,0.09350649350244561,0.15714285713605444,0.06277056276784543,0.009090909090515546
AU,12801,2789,189,40,23,12,6,6,5,5,3361,5366,3723,1982,894,348,111,58,26,7,4106,5456,3524,1590,724,270,135,48,17,6,0.33631085304438096,0.07324698525800595,0.037963376505673815,0.13041536399596182,0.06163465832685866,0.002679767753341681,0.09959803483253248,0.22197409556846923,0.03081732916342933,0.005359535506683362
AU,9716,2045,1523,1492,621,312,131,10,21,5,2978,5570,3972,1979,829,334,150,48,12,4,1786,5391,4430,2625,1112,353,120,41,14,4,0.4189577349027921,0.07755437012402322,0.04021337710134537,0.09068526876936048,0.10709889207603206,0.010258514566669737,0.07673368895868964,0.1288469429573719,0.04267542059734611,0.006975789905335422
AU,14097,1666,58,20,15,9,2,3,2,4,4726,5810,3139,1272,561,210,92,41,17,8,5449,5964,3060,972,281,83,46,12,4,5,0.31300619341052854,0.08146736540821976,0.04001905669175707,0.09337779894743317,0.06955693186900634,0.004764173415685366,0.12577417817409367,0.2315388280023088,0.03334921390979756,0.007146260123528049
AU,15558,256,24,14,10,3,0,1,7,3,5171,6112,2947,1031,378,158,61,11,2,5,2975,4845,3953,2226,1057,533,176,76,22,13,0.3691945913951091,0.08171663726738879,0.028218694883702603,0.07642563197669455,0.0693709582557689,0.0017636684302314127,0.09406231627900868,0.22633744854636464,0.04056437389532249,0.012345679011619889
AU,14748,608,213,111,83,50,32,22,3,6,13568,1365,390,211,141,108,44,26,18,5,3617,5745,3399,1634,810,357,172,77,50,15,0.35210008934977216,0.062109025913221226,0.04468275245555484,0.09740840035310955,0.08847184986199859,0.004468275245555484,0.110813226089776,0.20509383377099671,0.03217158176799948,0.0026809651473332905
AU,8015,2984,2395,1437,617,275,84,30,27,12,4003,5604,3589,1668,651,239,84,30,6,2,3716,6419,3392,1582,514,171,49,20,10,3,0.42688121152736014,0.09749171793196916,0.04732607666600445,0.09559867486532898,0.08471367723214797,0.006152389966580578,0.0946521533320089,0.10411736866520979,0.036441079032823426,0.006625650733240623
AU,6285,3218,3249,1789,900,252,133,26,18,6,5220,6079,3000,1016,375,113,44,21,5,3,4625,5974,3118,1362,533,171,61,15,7,10,0.3754578754406842,0.08470695970308119,0.03937728937548639,0.1034798534751154,0.07005494505173741,0.0036630036628359434,0.08241758241380873,0.1936813186724505,0.03617216117050494,0.01098901098850783
AU,10435,1838,1812,1088,409,178,35,59,19,3,3474,5702,3458,1829,834,336,157,63,17,6,1809,5566,4534,2266,1075,421,130,45,24,6,0.4162326388708233,0.11067708332852964,0.05164930555331384,0.11284722221732435,0.07638888888557341,0.009982638888455615,0.09027777777385948,0.10416666666214555,0.02039930555467017,0.0073784722219019765
AU,7617,4378,2810,749,233,60,14,10,2,3,7199,5918,1998,529,123,49,37,17,3,3,2676,5380,4132,2185,941,361,114,57,21,9,0.35309548791431816,0.10020986358340976,0.04512067156111644,0.11594963273263642,0.06925498425659732,0.0036726128014862216,0.09129066106551466,0.1689401888683662,0.04407135361783466,0.008394543546254222
AU,13556,1845,195,109,84,38,24,13,6,6,6264,6211,2400,689,199,77,25,7,2,2,3530,6021,3489,1575,698,315,139,69,27,13,0.3965330443988877,0.09209100757897665,0.030877573129421583,0.08992416034182425,0.06933911158887654,0.006500541711457175,0.09263271938826474,0.16738894907002225,0.04712892740806452,0.007583965330033371
AU,12745,2891,203,24,4,3,1,1,2,2,5553,6022,2694,948,383,162,65,33,10,6,9701,5102,812,134,40,27,32,12,9,7,0.41108007446875794,0.08566108007049995,0.043761638731668454,0.08845437615975539,0.07262569832064127,0.011638733705230973,0.08193668528482605,0.15502793295367656,0.039571694597785305,0.010242085660603256
AU,8835,2031,2819,1470,490,149,48,16,15,3,3474,5271,3540,1904,917,430,203,80,42,15,4363,6538,3296,1108,375,119,38,28,8,3,0.40329972500443173,0.09028414298394666,0.04353803849479661,0.0879926672736942,0.08707607698959322,0.01374885426151472,0.10174152153520892,0.13153070576849082,0.032080659943534345,0.008707607698959322
AU,12662,2795,273,65,37,25,11,2,4,2,3962,5916,3481,1618,551,207,82,33,17,9,2989,5856,4041,1802,690,296,126,57,16,3,0.4126157407168625,0.09895833332760658,0.030671296294521335,0.09317129629090444,0.08043981481015973,0.006944444444042567,0.08275462962484058,0.13599537036250026,0.048611111108297966,0.009837962962393636
AU,14028,905,540,268,93,24,4,7,5,2,11255,3999,498,86,19,7,4,5,0,3,4732,5475,2956,1518,666,318,126,64,16,5,0.28800366299047603,0.0581501831475206,0.032509157507668994,0.10714285713795134,0.06776556776246495,0.0036630036628359434,0.10393772893296989,0.2847985347854946,0.04853479853257625,0.005494505494253915
AU,7965,4492,2563,607,174,44,20,6,3,2,12498,3018,250,59,31,8,6,2,2,2,4973,6911,2990,689,185,50,31,25,15,7,0.3513126491479087,0.0682577565599877,0.051551312646704,0.10071599044865318,0.09164677803858488,0.0038186157516077036,0.10214797135550607,0.18997613364248325,0.032935560857616446,0.007637231503215407
